,Company,TypeName,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,PPI,IPS,Touchscreen,HDD,SSD,Hybrid,Flash_Storage
207,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.21,15605044,166.0,1,1,0,0,0,0
208,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.2,11601708,166.0,0,0,0,0,0,0
209,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.2,4780022,141.0,0,0,0,0,0,0
210,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Linux,2.4,6237203,141.0,0,0,1,0,0,0
211,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,11265353,127.0,0,0,1,0,0,0
212,HP,Notebook,Intel Core i3,4,500GB HDD,Intel HD,No OS,2.1,2794371,141.0,0,0,500,0,0,0
213,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,No OS,2.2,4395705,141.0,0,0,0,0,0,0
215,Dell,Ultrabook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.4,7461290,166.0,1,0,0,0,0,0
216,Lenovo,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,No OS,2.8,4715954,127.0,0,0,1,0,0,0
217,HP,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.63,8254888,157.0,0,0,0,0,0,0
218,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.6,9199707,157.0,0,0,0,0,0,0
219,Dell,2 in 1 Convertible,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.62,10240539,166.0,0,1,0,0,0,0
220,Dell,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Linux,2.2,5423293,141.0,0,0,0,0,0,0
221,Lenovo,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.74,7198040,157.0,1,0,0,0,0,0
